Variable,Description,Code,Data_type,Question,Response,Question number,Notes
Age ,Reported age in years ,age_year,Numeric  ,How old are you?,Number; Prefer not to say but over 18,1,
Goal progress endorsement (GPE) 1,Item from GP scale,GP_1_a,Logical,… making a meaningful contribution to conservation,Yes,3,
Goal progress (GP) 1,Item from goal progress question,GP_1_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,4,
GPE 2,Item from GP scale,GP_2_a,Logical,… being a leader,Yes,5,
GP 2,Item from goal progress question,GP_2_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,6,
GPE 3,Item from GP scale,GP_3_a,Logical,… influencing other people’s behaviour,Yes,7,
GP 3,Item from goal progress question,GP_3_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,8,
GPE 4,Item from GP scale,GP_4_a,Logical,… earning money,Yes,9,
GP 4,Item from goal progress question,GP_4_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,10,
GPE 6,Item from GP scale,GP_6_a,Logical,… ensuring people benefit from nature in a sustainable way,Yes,13,
GP 6,Item from goal progress question,GP_6_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,14,
GPE 7,Item from GP scale,GP_7_a,Logical,… making sure people are treated equally and fairly,Yes,15,
GP 7,Item from goal progress question,GP_7_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,16,
GPE 8,Item from GP scale,GP_8_a,Logical,… avoiding conflict between people and conservation,Yes,17,
GP 8,Item from goal progress question,GP_8_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,18,
GPE 5,Item from GP scale,GP_5_a,Logical,… stopping human-driven species loss,Yes,11,
GP 5,Item from goal progress question,GP_5_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,12,
GPE 9,Item from GP scale,GP_9_a,Logical,… stopping damage to the natural world,Yes,19,
GP 9,Item from goal progress question,GP_9_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,20,
GPE 10,Item from GP scale,GP_10_a,Logical,… creating a more sustainable world,Yes,21,
GP 10,Item from goal progress question,GP_10_b,Ordinal,How satisfied are you with your progress to these personal work goals?,Very dissatisfied ; Dissatisfied; Neutral; Satisfied ; Very satisfied,22,
